                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                0.00856,                0.74388,                0.94701,                0.97877,                0.85426,                0.91333,                0.81397,                0.00681,                0.47685,                0.89453,              0.0019141,              0.0019141,              0.0019141
                    118,                0.00856,                0.74266,                0.94683,                0.97873,                0.85437,                0.91346,                 0.8142,                0.00681,                0.47645,                0.89446,              0.0018438,              0.0018438,              0.0018438
                    119,                0.00772,                0.64906,                0.92969,                  0.979,                0.85504,                0.91415,                0.81523,                0.00677,                0.47348,                0.89337,              0.0017734,              0.0017734,              0.0017734
                    120,                0.00767,                0.64399,                0.92746,                0.97939,                 0.8556,                0.91471,                0.81607,                0.00674,                0.47078,                0.89258,              0.0017031,              0.0017031,              0.0017031
                    121,                0.00765,                0.64187,                0.92706,                 0.9799,                0.85582,                0.91519,                0.81682,                0.00671,                0.46866,                0.89181,              0.0016328,              0.0016328,              0.0016328
                    122,                0.00763,                0.63902,                0.92622,                0.97991,                0.85631,                0.91553,                 0.8176,                0.00669,                0.46702,                0.89119,              0.0015625,              0.0015625,              0.0015625
                    123,                0.00761,                0.63617,                0.92565,                0.97986,                0.85698,                0.91592,                0.81807,                0.00668,                0.46543,                0.89085,              0.0014922,              0.0014922,              0.0014922
                    124,                0.00758,                0.63351,                0.92422,                   0.98,                0.85713,                0.91618,                0.81828,                0.00668,                0.46445,                0.89082,              0.0014219,              0.0014219,              0.0014219
                    125,                0.00757,                0.63137,                0.92369,                0.97963,                0.85779,                0.91641,                 0.8187,                0.00667,                0.46342,                0.89043,              0.0013516,              0.0013516,              0.0013516
                    126,                0.00753,                0.62693,                0.92281,                0.97975,                0.85779,                0.91669,                0.81906,                0.00667,                0.46247,                 0.8902,              0.0012813,              0.0012813,              0.0012813
                    127,                0.00751,                 0.6244,                0.92197,                0.98011,                0.85784,                0.91692,                0.81974,                0.00665,                0.46129,                0.88953,              0.0012109,              0.0012109,              0.0012109
                    128,                0.00748,                0.62121,                0.92121,                0.97969,                0.85849,                0.91711,                0.82006,                0.00664,                0.46068,                0.88935,              0.0011406,              0.0011406,              0.0011406
